Name,ID,Preferred Address City,Preferred Address State Code
1980,5912,Springfield,VA
"2G Clinical Research Services, Inc",5554,Harrington,DE
3129,5667,,
3T Research Kft,4036,Debrecen,Hajdú-Bihar megye
4G Clinical,5452,Wellesley,MA
"A&R RESEARCH GROUP, LLC",5677,Pembroke Pines,FL
A.T. Still University,3236,Kirksville,63501
AAPRI Clinical Research Institute,3621,Warwick,Rhode Island
AB Clinical Trials,2980,las vegas,NV
AbbVie,3734,North Chicago,Illinois
abc,3931,Ellicott City,MD
Ablon Skin Institute Research Center,4575,Manhattan Beach,California
"ABS Health, LLC",2919,Whittier,California
Accel Research Site - Accord,5361,,
Accel Research Site - Achieve,5362,,
Accel Research Sites - Corporate,5548,Deland,FL
ACCELEMED RESEARCH INSTITUTE LLC,6055,Austin,TX
Accelerium Clinical Research,3096,Monterrey,NL
Accellacare,6097,,
Accellacare - Bristol,6096,,
Accellacare - Cary,6098,Cary,NC
Accellacare - Charleston,6099,Mount Pleasant,SC
Accellacare - Charlotte,6100,Charlotte,NC
Accellacare - DuPage Medical Group,6101,Downers Grove,IL
Accellacare - Hickory,6102,Hickory,NC
Accellacare - Knoxville,6103,Knoxville,TN
Accellacare - McFarland Clinic,6104,Ames,IA
Accellacare - Piedmont HealthCare,6105,Statesville,NC
Accellacare - Raleigh,6106,Raleigh,NC
Accellacare - Rocky Mount,6107,Rocky Mount,NC
Accellacare - Salisbury,6108,Salisbury,NC
Accellacare - Wilmington,6109,Wilmington,NC
Accellacare - Winston-Salem,2513,Winston Salem,NC
Accent Clinical Research Professionals,3146,,
Accent Clinical Trials,4869,,
"Access Clinical Trials, Inc.",4249,Nashville,TN
Accord Clinical Research,3585,Port Orange,FL
AccumetRX Clinical Research,2512,Albequereque,NM
Accurate Clinical Research,3849,Stafford,TX
Accurate Clinical Trials,4273,Kissimmee,Florida
Ace Clinical Research Group,4241,Sugar Land,TX
Acevedo Clinical Research Associates,6049,Miami,FL
Achieve Clinical Research,3587,Birmingham,AL
Achieving Your Best,6119,Springfield,MO
ACMR-CenExel (Atlanta Center for Medical Research),2631,Atlanta,GA
ACRC TRIALS,2589,plano,TX
ACRE,5970,Newcastle,NSW
ACRO,5799,Washington,DC
ACTA,5943,NSW,NSW
"ActivMed Practices & Research, Inc.",2670,Methuen,MA
Acurian,3475,Horsham,PA
acute research team UHNM,4047,Stoke-on-Trent,Staffordshire
Adams Clinical,2388,Watertown,MA
Adaptive Research Inc.,6027,San Carlos,CA
Adult and Pediatric Urology P.C.,3137,Omaha,NE
Advance clinical Research,5680,Dayton,OH
Advanced Cardiovascular Specialists,3388,Shreveport,LA
"Advanced Cardiovascular, LLC",3937,Alexander City,Alabama
Advanced Clinical Research- Idaho,3031,Meridian,Idaho
"Advanced Clinical Research, Inc.",2782,West Jordan,UT
"Advanced Clinical Research, Inc.",5671,Raleigh,NC
Advanced Dermatology of the Midlands,5783,Omaha,NE
"Advanced Gastroenterology Associates, LLC",3919,Palm Harbor,FL
Advanced Medical Care,5989,Forest Hills,NY
"Advanced Medicine Clinical Trials, LLC",5993,Pomona,CA
Advanced Research Associates,4534,Hodges,South Carolina
"Advanced Research Center, Inc.",3451,Anaheim,CA
Advanced Research for Health Improvement,6038,Naples,FL
"Advanced Research Institute, Inc",5633,New Port Richey,FL
Advances in Health,2498,Houston,TX
Advantage Clinical Trials,4234,Bronx,NY
Advent Health,6117,,
AdvocateAuroraHealth,2599,Milwaukee,WI
"Aeroallergy Research Laboratories of Savannah, Inc.",3722,Savannah,GA
Affinity Health Corp.,3891,Oak Brook,IL
AGA Clinical Centro de Investigate,2459,Guayaquil,Guayas
AGA Clinical Trials,2458,Miami,FL
"Agile Clinical Research Trials,LLC",2702,Atlanta,GA
AGO Studienzentrale,3288,,
AIDS HEALTHCARE FOUNDATION,5926,Miami Beach,FL
AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,3965,LIVERPOOL,MERSEYSIDE
Ajou University Medical Center,4175,Suwon,
Albany House Medical Centre,3191,Wellingborough,Northamptonshire
"Albany Research Institute, Inc.",3494,Albany,NY
Alentic Microscience,5841,Halifax,NS
Alfred Health,3435,Melbourne,Victoria
Alfred Hospital Radiology Research,3980,Melbourne,Victoria
All Medicus,3804,KAJETANY,
Allegheny General Hospital,3237,Pittsburgh,PA
"Allegiance Research Specialists, LLC",3592,Milwaukee,WI
Allergan,5860,Irvine,CA
Allergy & Asthma Care of Waco,3831,Waco,TX
Allergy Partners of North Texas Research,2783,Dallas,TX
"Allergy, Asthma & Sinus Center, S.C.",2438,Greenfield,WI
Alliance Clinical Research of Tampa,5634,Tampa,FL
Alliance Dermatology - RX Trials Partner Site,4548,Phoenix,Arizona
"Alliance for Multi-Specialty Research, LLC (AMR, LLC)",2484,Knoxville,TN
"Allied Clinical Research, LLC",2692,Gold River,CA
All-MED Centrum Medyczne,4130,Lodz,PL
"Alpha and Omega Research Institute, LLC",4122,Scottsdale,AZ
"Alpha Clinical Systems, Inc",4153,Piscataway,NJ
Alpha Science Research,5421,Miami,FL
Alphab Global Research,5759,Jupiter,FL
Alternative Solutions Research,5678,Saint Petersburg,FL
Althian,5408,Monterrey,Nuevo Leon
Altru Health System,3402,Grand Forks,ND
Altus Research,2557,Lake Worth,FL
Amarillo Center for Clinical Research,5889,Amarillo,TX
AMCR Institute,5768,Escondido,CA
American Health Network,5826,New Albany,IN
AMERICAN HEALTH NETWORK OF IN,3222,Avon,IN
American Health Research,3401,Charlotte,NC
American University of Beirut Medical Center,3289,,Beirut
Amgen,2932,,CA
Amici Clinical Research,3737,Martsinville,NJ
Amita Health Alexian Brothers Center for Psychiatric Research,3947,Hoffman Estates,IL
Anaheim Clinical Trials,2959,Anaheim,CA
Andrews Research & Education Foundation,5925,Gulf Breeze,FL
An-Najah National University,5904,Nablus,west bank
Anne Arundel Research Institute,5754,Annapolis,MD
ANZUP,3717,Camperdown.,NSW
"Apostle Clinical Trials, Inc. - RxTrials Partner Site",2460,Long Beach,CA
"Apostle Clinical Trials, Inc.- RxTrials Partner Site",4290,Long Beach,California
Appalachian Clinical Research,5660,Adairsville,GA
Applied Research Center of Arkansas,5542,Little Rock,AR
ARCH Health Medical Group,4174,Poway,CA
Arcuri Clinical Research LLC,3397,Philadelphia,PA
Argus Research,3059,Cape Coral,FLORIDA
Argus Research at Cape Coral Eye Center,5705,Cape Coral,FL
Arizona Clinical Research Center,5461,Tucson,AZ
Arizona Research Center,2984,Phoenix,Arizona
Arizona State University,3239,Tempe,Arizona
Arizona Veterans Research and Education Foundation,3548,Phoenix,AZ
Ark Clinical Research,3834,Long Beach,California
"Arkansas Cardiology, P.A.",5686,Little Rock,AR
Ars Rheumatica,3805,KOJETANY,
Artemis Institute for Clinical Research - Riverside,6116,,
Artemis Institute for Clinical Research - San Diego,4070,San Diego,CA
Arthritis & Rheumatology of GA,3361,Atlanta,Georgia
ASAN MEDICAL CENTER,2789,SEOUL,
Ascension,5816,Grand Blanc,MI
Ascension St. John Clinical Research Institute,3049,Tulsa,OK
Ascension St. Mary's Research Institute at Covenant Medical Center,2482,Saginaw,MI
ASCLEPES Research Centers,5466,Panorama City,CA
Asheville Medical Research & Education Corporation,3497,Asheville,NC
Asociatia Comunitatea Oamenilor,5534,Craiova,Dolj
"Aspen Clinical Research, LLC",2461,Orem,UT
AstraZeneca,3344,Wilmington,DE
Atheln BioMed,5940,Irvine,CA
"Atlanta Research and Education Foundation, Inc.",3498,Atlanta,GA
Atlanta Ropheka Medical Center/APSMO,2909,Lithonia,GA
Atlanta Women's Research Inst.,5621,Atlanta,GA
Atlantic Health System,4254,Morristown,NJ
Atlantic Medical Research,6030,Margate,FL
ATRIA Clinical research Management,2703,Little Rock,AR
Atrium Health Center for Primary Care Research,4129,Charlotte,NC
Auckland Eye,3131,Auckland,---Select a State---
Augusta Biomedical Research Corporation,3499,Augusta,GA
Augusta University,5514,Augusta,GA
Aultman Hospital,3081,Canton,OH
Austin Hospital,3482,Heidelberg,Victoria
Austin Hospital Office for Research,5196,Heidelberg,Victoria
"Austin Institute for Clinical Research, Inc.",2934,Pflugerville,TX
Austral University Clinical Research Unit,3339,Derqui,Buenos Aires
Australian Clinical Labs,5982,Clayton,
Auxiliis,4008,Budapest,.
Auzmer Research,5521,Lakeland,FL
Avail Clinical Research,3465,Ormond Beach,FL
AvantDerm,5626,Toronto,ON
Avanza Medical Research Center,2440,Pensacola,FL
Avanza Research,6078,Pensacola,FL
"Aventiv Research, Inc.",2650,Columbus,OH
Avera Health,6070,Sioux Falls,SD
Avita Clinical Research,5441,Tampa,FL
"Avix Investigacion Clinica, S.C.",3169,Monterrey,Nuevo Leon
AVON FOUNDATION BREAST CANCER CLINICAL SCHOLAR,2790,MEDELLIN,
"Awasty Research Network, LLC",3584,Marion,Ohio
Axbridge and Wedmore Medical Practice,3854,Axbridge,Somerset
Axiom,3664,New York,NY
AZ Delta,3416,Roeselare,West-Vlaanderen
AzadMedica Inc.,5994,Annan,ON
BACH MAI HOSPITAL,2791,HANOI,
Bailing Cloud Biomedical Technologies Innovation,3839,Taipei City,
"Baltimore Research and Education Foundation, Inc.",3500,Baltimore,MD
BANKSTOWN-LIDCOMBE HOSPITAL,2792,LEICHHARDT,
Banner Alzheimer's Institute,5586,Phoenix,AZ
"Baptist Health Center for Clinical Research, AMR",4339,,
Barbara Diaz-Hernandez MD Research Inc,5777,San Juan,PR
"Barking, Havering and Redbridge University NHS Trust",4256,"Rom Valley Way, Romford",Essex
Barrett Clinic,5552,La Vista,NE
Barts Health,3794,Farringdon Without,London
Barts Health NHS Trust,4257,London,UK
Barwon Health,3359,Geelong,Victoria
Basildon and Thurrock University Hospital NHS Foundation Trust,4117,Basildon,Essex
BASSETT CANCER INSTITUTE,2793,ONEONTA,NY
"Bay Pines Foundation, Inc.",3501,Bay Pines,FL
Bayer,3728,Whippany,NJ
Baylor All Saints Medical Center,2948,Fort Worth,TX
Baylor College of Medicine,5857,Houston,TX
Baylor Scott and White Research Institute,5608,Dallas,TX
Baylor Soltero CV Research,3492,Dallas,Texas
"Beacon Clinical Research, LLC",2668,Quincy,MA
Beata Miklaszewicz&Dariusz Dabrowski \,3833,Legnica,dolnoslaskie
Beaumont Health,5570,Royal Oak,MI
Bedford Hospital NHS Trust,4060,Bedford,Bedfordshire
"Bedford VA Research Corporation, Inc.",3502,Bedford,MA
Beijing Anzhen Hospital,3290,BEIJING,
Beijing Cancer Hospital,3292,Haidian,Beijing
BEIJING UNION MEDICAL COLLEGE HOSPITAL,2794,BEIJING,
Bellberry Ltd,5988,Eastwood,
Belleair Research Center,3240,Pinellas Park,FL
Benaroya Research Institute at Virginia Mason,2649,Seattle,Wa
Benchmark Research - Austin,3486,Austin,TX
Benchmark Research - Fort Worth,3487,Fort Worth,TX
Benchmark Research - New Orleans,3489,Metairie,LA
Benchmark Research - Sacramento,3490,Sacramento,CA
Benchmark Research - San Angelo,3488,San Angelo,TX
Benchmark Research - San Francisco,3491,San Francisco,CA
Bendel Medical Research Center,3657,Lafayette,Louisiana
Bendigo Health,5506,Bendigo,
"Bergstrom Eye Research, LLC",4238,Fargo,ND
Berkson Medical,3745,Mansfield,TX
Bermuda Clinical Research,4922,Basingstoke,Hampshire
Bermuda Clinical Trials,3186,Basingstoke,Hampshire
Betegápoló Irgalmasrend Budai Irgalmasrendi Kórház,4000,Budapest,.
"Better Health Clinical Research, Inc.",2584,Newnan,GA
Beyer Research,2462,Kalamazoo,MI
BG Neurology,3207,Spartanburg,SC
Bicester Health Centre,3785,Bicester,Oxfordshire
Bioclinica,3481,Audubon,PA
BIOCLINICA (formely CCBR Clinical Research),2667,Roedovre,Denmark
Bioclinica Research ( Formerly Compass Research),2897,Orlando,Florida
Biofortis Clinical Research,2645,Addison,Illinois
BIOGENICS RESEARCH INSTITUTE,5902,San Antonio,TX
Biomedical Research and Education Foundation of Southern Arizona,3570,Tucson,AZ
Biomedical Research Foundation,3533,Little Rock,AR
Biomedical Research Institute of New Mexico,3495,Albuquerque,NM
Biometrix Inc.,5706,San Francisco,CA
"Bio-Optronics, Inc.",2486,Rochester,New York
"Biopharma Informatic, Inc. Research Center",3062,Houston,TX
BioResearch Group Sp. z o. o.,4043,Kajetany,Mazowieckie
Bioscience Research LLC,3604,Mt. Kisco,New York
Bioserv SMO,5801,Passo Fundo,Rs
BioVirtus Research Site,2926,Nadarzyn,Mazovian
Black Country Partnership NHS Foundation Trust,3994,Wolverhampton,West Midlands
BLEKINGE HOSPITAL,2795,KARLSKRONA,
Blessing Health,6076,Quincy,IL
Block Clinical Inc.,5726,Raleigh,NC
Blue Ocean Clinical Research Center,5954,Clearwater,FL
Bodey Medical Centre,3916,Manchester,Greater Manchester
Boehringer Ingelheim,3977,Ridgefield,CT
Boeson Research,4229,Idaho Falls,ID
Bollington Medical Centre,3914,Bollington,Cheshire
Bolton NHS Foundation Trust,3751,Bolton,Greater Manchester
Border Medical Oncology Research Unit Pty Ltd,4074,Albury,New South Wales
Borland-Groover Clinic,2708,Jacksonville,Florida
Boston Children's Hospital,3217,Boston,MA
"Boston Clinical Trials, Inc",2715,Boston,MA
"Boston VA Research Institute, Inc.",3506,Boston,MA
BPHI City clinical hospital #1 n.a. Kabanov,3293,,
BR Pharma,4011,Hodmezovasarhely,.
Bradenton Research Center,4160,Bradenton,Florida
Bradford Teaching Hospitals NHS Foundation Trust,3776,Bradford,West Yorkshire
Brain Matters Research,3986,Delray Beach,FL
Brazilian Hospital Services Company (Ebserh) - University Hospital of Brasília,3377,Brasília,DF
"Brevard Clinical Research Center, Inc.",3077,Melbourne,FL
BRF Office of Research Development & Administration,3681,Shreveport,LA
Bridgerland Clinical Research,3041,North Logan,UT
Brightech International LLC,2383,Somerset,NJ
Bristol-Myers Squibb,3439,Princeton,New Jersey
"Bronx Veterans' Medical Research Foundation, Inc.",3507,Bronx,NY
"Brookview Hills Research Associates, LLC",2982,Winston-Salem,NC
Brutus,3441,Silver Spring,MD
BSI,3917,Baden,Switzerland
"BTC of New Bedford, LLC",3685,New Bedford,MA
Bucks Healthcare NHS Trust,3784,Aylesbury,Buckinghamshire
Budapest Retina Associates,3598,Budapest,N/A
"Buffalo Institute for Medical Research, Inc.",3509,Buffalo,NY
Burbage Surgery,5465,Hinckley,
"Buynak Clinical Research, P.C.",5689,Valparaiso,IN
C2N Diagnostics,5675,Winter Park,FL
Cabrini Health,3115,Melbourne,Victoria
Cadence Health,2671,Winfield,IL
California Research Institute (CRI),6052,Los Angeles,CA
California Research Medical Group Inc,2889,Fullerton,California
Calvary Centre for Neuroscience Calvary Adelaide Hospital,3141,Kent Town,South Australia
Calvary Mater Newcastle,3421,Waratah,NSW
CAMC Clinical Trials Center,2568,Charleston,WV
Campsie Clinical Trials Unit,3294,Heidelberg,
Canadian Phase Onward Inc.,5809,Toronto,ON
CANCER CENTER,2797,VINCENNES,IN
CANCER CLINICAL TRIALS CENTRE,3126,Heidelberg,Victoria
Cancer Council Victoria,5949,Melbourne,Victoria
Cancer Institue Candiolo,5712,Candiolo,
Cancer Treatment Centeres of Americ,6017,Spring,TX
Cancer Trials Australia,4052,Melbourne,Victoria
Canterbury District Health Board,5972,Christchurch,
CANTHO ONCOLOGY HOSPITAL,2798,CANTHO,
Capella University,3241,Minneapolis,Minnesota
Capital and Coast District Health Board,3913,Newtown,6443855496
Cardiac Health Management Network PC,4159,Chester,VA
Cardiamed,3806,KOJETANY,
Cardinal Internal Medicine,3385,Woodbridge,VA
Cardinal Santos Medical Center,3295,San Juan,Manila
Cardiology Clinical Trials Department The Queen Elizabeth Hospital,3647,Woodville South,South Australia
Cardiovascular Clinical trials Unit,3979,Epping,Victoria
"Cardiovascular Consultants of South Georgia, LLC",5631,Thomasville,GA
Care Access Research LLC,4185,Boston,MA
CARe Clinic,6022,Red Deer,AB
Care Partners Clinical Research LLC,3167,Jacksonville,FL
CAREONE RESEARCH-RX Trials Partner Site,4215,Los Angeles,CA
Caribbean Medical Research Center,5509,San Juan,PR
Carolina Blood and Cancer Care Associates,3615,Rock Hill,SC
Carolina ENT Clinic-CENTRI Inc.,3923,Orangeburg,SC
Carolina Research,2744,Greenville,NC
Carolinas Medical Center-Urology Research,3242,South Charlotte,NC
Carolinas Research Associates,2493,Charlotte,NC
CaroMont Regional Medical Center,5507,Gastonia,NC
"Cascade Clinical Research, Inc.",3243,West Linn,Oregon
Case Western Reserve University Dept. of Family Medicine,3056,Cleveland,Ohio
Casey Orvin,5576,Queen Creek,AZ
Cassidy Medical Group - Carlsbad - Radiant Research,4316,Carlsbad,California
Cassidy Medical Group - Radiant Research,4610,Vista,California
CCBR Clinical Research,4476,Stans,Nidwalden
"CCBR Clinical Research, Aalborg",4478,Aalborg,
"CCBR Clinical Research, Ballerup",4544,Ballerup,
"CCBR Clinical Research, Beijing",4495,CN-Beijing,
"CCBR Clinical Research, Bogota",4488,Bogota,
"CCBR Clinical Research, Brno",4484,Brno,
"CCBR Clinical Research, Bucharest",4487,Bucharest,
"CCBR Clinical Research, Buenos Aires",4491,Buenos Aires,
"CCBR Clinical Research, Guangzhou",4545,Guangzhou,
"CCBR Clinical Research, Hong Kong",4496,Hong Kong,
"CCBR Clinical Research, Lima",4493,Lima,
"CCBR Clinical Research, Lodz",4482,Lodz,
"CCBR Clinical Research, Medellin",4489,Medellin,
"CCBR Clinical Research, Pardubice",4483,Pardubice,
"CCBR Clinical Research, Prague",4485,Prague,
"CCBR Clinical Research, Rio De Janeiro",4490,Rio de Janeiro,
"CCBR Clinical Research, Santiago",4494,Santiago,
"CCBR Clinical Research, Sao Paulo",4486,Sao Paulo,
"CCBR Clinical Research, Tallinn",4479,Tallinn,
"CCBR Clinical Research, Tucuman",4492,Tucuman,
"CCBR Clinical Research, Vejle",4477,Vejle,
"CCBR Clinical Research, Vilnius",4480,Vilnius,
"CCBR Clinical Research, Warsaw",4481,Warsaw,
CCTS,4131,Lublin,PL
CCTS,5855,Lexington,KY
CDHB,3882,Christchurch,Canterbury
CE3 Inc,5508,Guilford,CT
Cedar Crosse Research Center,2977,Chicago,Illinois
Cedar Health Research,5652,Dallas,TX
Centennial Medical Group - RxTrials Partner Site,2464,Elkridge,MD
"Center for Allergy, Asthma & Immunology",3060,Waterbury,CT
Center for Digestive Health,5772,Troy,MI
Center for Neurosciences,2630,Tucson,AZ
"Center for Pharmaceutical Research, AMR",4338,Kansas City,Missouri
Center Point Clinical Services LLC,3076,Minnetonka,MN
Centex Studies - Brownsville,6115,,
Centex Studies - Clearlake,6113,,
Centex Studies - Lake Charles,6094,,
Centex Studies - McAllen,6114,,
Centex Studies - Westfield,6112,,
Centex Studies.com,6125,Houston,Select a State
Central Adelaide Local Health Network Inc (CALHN Research Office),3741,brisbane,
"Central Arizona Medical Associates, PC - Radiant Research",4301,Mesa,Arizona
Central Florida Clinical Research Consultants,4294,Orlando,Florida
Central Florida Pulmonary Group PA,3635,Orlando,FL
"Central Kentucky Research Associates, Inc., AMR",4337,Lexington,Kentucky
Central New York Clinical Research,2563,Manlius,NY
Central New York Research Corporation,3567,Syracuse,NY
"Central Phoenix Medical Clinic, LLC - Radiant Research",4300,Phoenix,Arizona
Central Texas Veterans Research Foundation,3569,Temple,TX
Centre For Eye Research Australia (CERA),2777,East Melbourne,Victoria
Centre hospitalier universitaire Sainte-Justine,6000,Montreal,QC
Centro de Diabetes Curitiba,5642,"Curitiba, Parana, Brasil",Parana
Centro de Investigación Clínica Chapultepec S.A. de C.V.,3963,Morelia,Michoacán
CENTRO DE INVESTIGACION CLINICA GRAMEL SC,4087,Ciudad de Mexico,Ciudad de México
Centrum Badan Klinicznych PI-House sp. z o.o.,3179,Gdansk,pomorskie
Centrum Badawczo-Rozwojowe Novasome Sp. z o.o.,5744,Wroclaw,
Centrum Medyczne CHODZKI,4132,Lublin,Pl
Centrum Medyczne K2J2,4149,Wolomin,Mazowieckke
Centrum Opieki Zdrowotnej Orkan-Med Stec-Michalska Sp.J,4143,Ksawerow,PL
CER research insitute,4725,Quilmes,Buenos Aires
Certified Research Associates,5981,Corning,NY
CERV Foundation,5133,Cincinnati,Ohio
CFS Clinical,2515,Audobon,PA
CGI,5546,Coronado,CA
CHA university Bundang Medical Center,4176,Gyeonngi-do,
Change Healthcare,5656,Greenville,SC
Changhua Christian Hospital,3840,Changhua County,
Charleston Research Institute,3510,Charleston,SC
Charlottesville Medical Research,2466,Charlottesville,VA
Charter Research,5641,Longwood,FL
"Chase Medical Research, LLC",3631,Waterbury,CT
Chattanooga Medical Research,4144,Chattanooga,TN
Chattanooga Research & Medicine,3053,Chattanooga,Tennessee
Chawton Park Surgery,4258,Alton,Hampshire
Chelsea & Westminster NHS Foundation Trust,3758,London,North West London
Chemidox Clinical Trials Inc,5959,Mission Hills,CA
Chernivtsi Regional Clinical Hospital,3297,,"Chernivtsi, Chernivets\'ka oblast"
"Chesapeake Research Group, LLC",2442,Pasadena,MD
Chesapeake Urology Research Associates,5864,Towson,MD
Chi Mei Hospital,3841,Tainan,
Chicago Association for Research and Education in Science,3524,Hines,IL
Chicago Clinical Research Institute Inc.,4275,Chicago,Illinois
Chicago Medical Research LLC,4096,Hazel Crest,IL
"Chicago Research Center, Inc.",2659,Chicago,IL
"Children’s Research Team, University of Leicester Hospitals NHS Trust",3763,Leicester,Leicestershire
Children's Health,5784,Dallas,TX
Children's Healthcare of Atlanta,3399,Atlanta,GA
Children's Medical Center of Tucson,3074,Tucson,AZ
chimei medical center,4075,Tainan,Taiwan
China Medical University,6080,Taichung City,
China Medical University Beigang Hospital,3842,Yunlin County,
